FL1-H	FL2-H	FL3-H	FL4-H
171	0	547	230
188	136	0	718
212	402	0	746
175	648	413	723
27	680	0	715
0	438	564	718
155	428	167	572
184	196	15	273
184	261	50	703
176	673	90	772
0	810	0	754
102	129	259	685
118	822	0	753
66	0	212	589
123	722	47	691
183	630	0	735
0	683	260	750
109	763	55	768
183	96	0	706
136	751	0	750
154	391	367	648
0	706	0	716
118	87	84	703
169	765	4	784
134	20	606	674
0	687	198	715
146	58	306	199
228	0	588	641
216	280	176	689
0	256	0	665
58	865	0	778
202	0	89	713
142	13	129	743
209	100	83	699
56	613	201	710
220	80	62	725
5	752	4	746
85	713	287	727
63	809	14	715
0	759	0	694
263	145	228	710
91	163	223	776
235	0	0	718
143	117	0	687
0	814	8	757
177	151	44	682
120	167	180	305
0	504	999	0
240	0	25	748
185	116	0	799
194	161	0	603
0	825	0	723
113	668	0	737
82	788	176	758
90	710	145	755
49	810	0	783
0	690	67	764
98	150	0	686
170	154	77	760
53	724	138	737
216	14	11	617
176	0	36	708
141	638	290	731
0	722	0	773
57	252	54	702
58	0	60	714
0	48	195	682
54	689	397	729
0	554	201	694
119	666	0	710
156	132	508	551
225	158	0	658
278	180	174	780
214	584	320	736
0	877	0	742
232	772	117	772
45	726	117	742
104	844	0	717
0	0	0	704
0	744	146	724
162	0	77	744
175	78	0	713
130	0	277	728
53	694	0	678
231	542	0	717
0	687	58	723
241	8	244	687
62	825	144	757
170	0	301	684
92	0	422	723
0	639	0	787
31	695	2	747
0	820	0	742
235	0	322	246
203	0	180	715
181	0	245	716
200	39	0	711
67	777	0	766
104	559	58	705
176	776	383	794
175	204	0	791
117	743	0	715
220	139	330	677
292	49	19	775
38	12	0	710
30	776	0	745
53	581	0	725
59	0	104	687
22	843	0	735
144	258	334	661
143	619	0	733
0	736	28	748
0	823	12	725
245	0	660	687
0	807	28	752
148	218	0	721
209	171	270	703
0	146	73	689
194	735	0	753
173	10	0	714
238	0	202	741
328	191	374	546
49	818	0	729
102	180	0	687
0	638	0	752
0	837	0	755
130	0	125	707
190	780	0	729
141	36	99	745
141	0	183	673
67	4	121	729
252	132	0	744
39	592	163	737
132	72	200	689
48	385	0	816
0	798	0	753
0	616	10	734
178	0	151	703
0	685	0	736
0	776	66	750
48	145	127	677
173	200	11	673
145	131	203	735
0	636	0	740
95	542	327	721
161	665	19	767
0	846	0	749
71	665	18	758
0	855	0	740
211	28	0	727
0	689	0	721
144	0	0	746
0	661	1018	0
98	690	159	741
0	730	0	715
134	87	17	685
0	836	0	725
223	0	294	323
0	747	0	729
0	754	24	692
39	796	0	766
167	192	232	695
21	858	0	738
48	152	296	690
71	794	0	768
136	708	0	763
112	107	33	700
89	700	244	735
212	26	24	730
0	814	55	747
70	79	297	656
0	671	0	741
20	713	0	773
184	0	330	759
0	712	194	721
74	177	0	622
90	0	111	709
1	700	0	766
203	102	140	707
184	0	183	684
183	6	0	697
152	354	14	710
0	762	10	708
80	471	76	722
137	740	0	759
187	0	68	722
162	550	133	349
0	707	106	743
0	770	5	716
103	0	85	683
0	758	0	726
29	114	50	702
188	0	131	750
0	641	0	733
0	660	0	715
79	762	0	791
0	817	0	734
154	623	81	777
15	701	0	714
137	193	0	613
212	0	242	715
172	0	255	722
11	892	0	762
0	765	47	750
8	0	10	733
70	120	46	737
55	23	0	684
80	0	39	672
140	272	0	714
206	108	0	687
146	526	210	693
124	0	0	725
34	725	61	704
66	214	150	722
26	822	0	778
114	632	0	753
170	627	148	740
9	768	0	730
0	721	0	746
52	235	151	705
172	0	75	654
174	149	0	713
249	0	0	748
100	0	140	741
176	116	113	710
91	631	143	750
0	722	35	737
0	738	26	739
89	729	0	705
475	1016	832	693
220	140	105	666
0	734	0	726
104	124	30	699
98	892	0	746
0	831	0	737
0	781	0	738
162	126	660	588
158	692	0	739
264	0	593	750
124	614	0	705
0	790	0	737
221	0	50	698
0	779	0	729
219	558	0	811
41	114	61	673
197	153	346	676
105	120	6	681
134	0	325	637
29	552	342	738
130	121	96	735
0	777	0	717
165	0	248	700
366	755	258	821
217	186	91	676
120	231	231	693
0	656	0	725
0	737	27	760
247	308	58	685
228	0	788	311
0	815	33	704
0	784	0	716
231	84	92	767
0	0	413	712
55	784	0	709
0	757	0	754
143	0	163	739
237	161	183	773
121	109	195	706
30	720	0	719
207	39	125	607
65	666	0	719
23	804	0	759
207	261	145	796
154	722	464	728
159	605	0	740
0	751	0	752
261	0	374	801
3	672	116	750
101	673	0	696
0	806	0	724
0	578	134	733
0	3	1003	9
233	211	0	741
30	282	25	639
0	0	16	688
188	8	182	718
0	793	33	721
62	743	0	725
128	36	293	601
62	281	21	700
51	101	120	708
0	735	0	729
140	781	0	706
0	731	0	718
0	839	153	733
215	699	29	770
2	0	107	684
0	754	209	722
139	0	177	693
142	645	50	771
0	759	57	742
133	0	455	642
126	696	0	755
0	836	0	753
163	208	278	709
47	0	515	742
144	210	0	706
150	757	0	804
182	615	228	693
61	158	0	741
159	199	24	669
0	681	216	759
128	501	0	725
105	253	0	672
13	0	0	697
0	710	56	719
0	762	0	754
159	785	109	687
0	223	0	700
35	787	317	712
188	222	0	680
189	130	112	621
436	637	408	760
55	673	134	737
48	118	0	701
199	850	334	709
52	754	262	739
99	755	0	708
198	759	0	705
182	647	0	710
55	569	10	738
187	0	93	692
133	0	0	733
95	631	142	704
198	589	0	713
0	186	81	698
75	667	0	737
0	612	38	768
97	730	534	732
208	0	353	557
0	679	234	710
0	798	246	719
0	250	200	652
144	877	57	748
160	169	20	725
245	52	104	724
126	120	61	707
0	798	168	765
92	99	0	751
51	139	339	695
210	754	0	770
60	238	56	707
103	106	318	701
117	148	0	688
0	886	0	781
0	767	10	779
149	0	300	714
275	176	341	541
195	0	262	665
257	0	132	738
122	28	296	737
75	766	0	737
99	795	194	738
104	133	157	734
55	732	71	751
175	431	0	704
191	693	34	738
71	788	90	724
240	6	0	735
172	719	0	715
110	751	0	754
232	17	92	651
12	798	0	703
159	19	290	688
160	0	299	730
167	687	0	711
186	0	351	573
39	776	0	736
107	777	104	720
14	672	0	746
149	801	44	775
235	735	0	752
69	105	289	675
0	726	0	708
63	804	0	761
0	830	0	718
0	0	59	719
112	0	248	734
133	0	109	688
114	909	0	748
116	565	87	787
0	781	346	721
0	657	0	758
44	480	236	670
184	813	0	677
112	615	0	698
179	0	225	665
228	158	3	671
207	739	69	741
38	128	0	717
0	806	0	725
235	125	0	729
203	691	0	750
0	808	91	743
51	677	0	702
183	111	0	689
83	0	185	676
197	209	0	717
100	34	393	675
78	736	0	698
442	145	253	720
159	738	0	761
146	12	130	683
121	188	0	695
157	87	290	766
192	0	121	714
124	701	0	719
115	64	0	702
0	882	0	742
0	782	23	736
172	151	28	695
149	0	335	696
294	318	0	579
204	165	0	705
212	758	625	744
4	611	18	718
153	186	0	708
87	188	0	652
118	666	0	736
0	764	139	732
115	37	0	681
121	728	0	782
0	782	0	717
88	0	197	646
54	105	9	674
84	180	0	688
218	200	120	784
201	57	642	691
0	770	0	737
187	194	0	718
234	0	241	686
209	0	294	711
90	0	326	689
0	259	0	678
268	0	149	722
196	44	0	687
242	118	285	647
109	982	0	754
0	776	0	747
68	835	0	755
105	0	252	730
199	20	137	714
215	0	311	274
49	216	232	672
0	849	0	757
193	0	295	746
124	165	104	719
0	628	101	734
218	93	57	715
257	73	357	712
83	214	177	672
0	786	0	743
196	0	301	706
102	0	114	673
0	694	0	727
241	70	41	725
165	703	0	727
155	0	212	719
64	227	0	704
225	176	110	718
0	803	0	766
200	1	616	699
0	813	0	730
156	46	68	681
226	112	0	721
21	739	0	761
157	0	222	297
205	0	368	689
0	665	0	725
203	671	0	794
79	113	15	699
89	53	111	715
66	176	97	688
97	733	152	730
204	74	0	672
34	685	149	711
228	756	257	668
182	0	473	757
101	501	0	613
57	713	0	764
126	655	0	750
199	122	206	686
218	71	301	303
211	67	313	306
0	792	0	713
4	661	0	699
188	12	277	752
247	259	0	690
45	779	0	801
0	679	180	723
84	45	265	686
167	582	204	698
0	797	295	719
0	860	0	755
124	1	0	578
0	0	271	681
146	21	153	696
68	831	0	737
260	337	0	675
242	54	182	746
273	0	37	719
0	828	0	780
37	0	0	721
0	828	142	732
277	1005	549	732
0	672	0	730
95	631	0	738
228	744	4	721
27	251	0	699
99	238	270	685
83	213	0	676
62	945	30	750
101	792	0	727
143	0	439	694
0	830	0	735
72	592	9	698
211	150	96	753
30	694	202	734
180	103	116	726
262	721	89	763
20	783	0	716
0	819	0	768
195	175	19	737
0	875	0	719
0	811	0	755
54	0	360	705
145	0	309	692
253	57	180	680
18	140	144	680
49	207	0	717
186	0	159	726
127	870	62	731
83	887	50	790
32	137	17	726
0	724	227	744
248	214	160	310
200	187	188	711
0	826	0	732
102	203	263	270
77	892	0	752
0	749	0	738
65	191	0	715
135	27	301	709
17	223	0	732
240	212	207	305
163	481	53	707
28	793	0	753
188	815	643	699
0	765	0	718
162	1008	254	714
121	777	177	741
145	87	80	662
157	890	0	779
0	790	286	746
98	704	0	775
97	652	0	735
180	792	0	744
0	812	0	737
246	545	0	770
53	768	44	739
155	753	12	750
0	879	0	823
103	606	0	739
49	796	0	749
120	163	0	705
0	776	179	758
85	214	0	719
303	0	372	611
0	759	117	748
231	669	25	776
64	0	188	694
207	57	0	706
194	114	109	763
0	777	0	733
205	593	207	717
204	0	469	716
91	319	73	714
140	674	50	719
203	291	0	727
166	0	531	726
111	615	332	768
0	813	0	739
31	702	0	724
183	97	25	797
227	777	0	808
186	759	54	746
186	795	4	749
0	734	0	710
63	358	0	717
116	184	0	731
51	786	462	734
155	0	535	740
0	183	196	683
38	771	0	716
99	138	345	692
113	274	80	778
118	607	0	766
522	1014	823	650
230	83	139	749
0	645	0	727
0	780	145	699
0	841	0	738
0	669	8	701
0	27	100	647
46	695	0	736
74	834	187	767
151	0	216	762
156	83	166	738
0	711	0	753
100	815	57	744
74	222	0	724
0	836	0	764
198	0	86	818
0	832	161	728
19	296	50	666
87	0	317	271
90	734	649	725
178	0	291	687
42	762	36	811
110	582	242	733
0	796	536	738
275	169	514	259
135	785	177	716
151	717	0	731
206	666	0	755
228	171	0	688
18	117	187	734
0	739	149	769
151	198	122	685
153	0	158	706
0	580	0	697
162	17	303	667
182	233	18	679
230	819	56	765
0	880	0	767
202	82	256	721
92	119	8	723
207	0	203	785
41	854	110	772
0	733	0	761
129	726	18	753
111	26	0	709
190	129	302	327
0	673	0	727
178	0	133	686
112	227	0	713
256	0	9	738
236	0	98	678
0	879	223	777
200	233	168	703
0	751	0	732
236	0	113	736
0	798	0	715
86	797	0	738
0	809	55	735
241	126	3	799
0	649	0	742
38	820	0	725
21	798	0	709
132	171	82	659
54	626	90	761
0	0	210	683
0	703	0	724
126	758	102	739
6	607	0	753
0	633	0	694
157	29	166	756
185	659	123	759
35	217	15	712
225	0	237	710
191	56	0	650
0	843	0	755
98	374	156	742
186	207	107	715
87	0	382	676
12	548	0	730
224	60	0	729
77	813	0	726
70	228	85	712
111	54	165	712
208	739	476	768
248	0	598	357
89	711	34	757
57	621	0	743
245	111	377	251
189	240	184	681
212	0	94	527
130	0	637	686
146	675	574	716
0	196	10	651
71	761	0	787
93	187	200	650
210	0	42	753
175	32	0	690
85	730	5	743
87	681	92	733
0	722	110	665
0	828	1	742
106	673	72	704
2	0	60	683
0	813	0	737
0	877	0	723
0	770	259	770
0	818	97	728
0	856	0	746
323	0	573	674
224	0	0	709
171	213	0	683
32	630	595	753
96	658	376	726
0	782	0	701
61	815	0	714
222	188	70	694
74	263	0	567
157	0	443	686
0	0	92	745
71	111	335	373
190	0	341	700
0	707	156	718
63	50	0	742
0	827	0	766
0	742	12	736
208	2	74	219
118	0	189	752
0	781	0	727
147	748	0	743
143	135	32	653
0	773	0	710
123	165	0	716
172	125	141	752
0	0	362	653
190	520	14	771
194	114	0	711
0	765	463	735
217	271	0	733
109	18	40	736
137	98	38	735
7	4	108	749
199	659	0	698
87	757	250	740
42	0	333	685
0	833	0	793
12	681	350	776
172	227	275	612
208	137	0	644
67	852	0	794
208	738	0	748
16	751	0	735
32	722	249	737
189	857	0	786
154	0	343	740
97	0	72	721
156	811	0	780
0	234	0	686
0	784	0	764
183	235	139	721
146	152	98	719
0	116	36	729
166	771	272	726
0	832	0	718
159	775	0	734
0	754	54	736
226	0	318	674
227	0	212	724
199	0	209	695
178	93	118	603
93	763	0	745
0	816	0	749
182	165	191	707
0	767	0	763
22	612	0	726
187	766	0	797
82	259	0	699
0	798	13	713
0	757	0	700
122	111	52	730
68	84	235	692
0	743	52	739
284	0	97	673
204	576	157	702
251	135	334	377
54	815	0	761
164	80	286	350
107	191	189	725
49	816	5	737
0	736	0	755
177	164	87	693
0	319	84	703
196	108	235	693
123	785	0	731
114	826	20	788
0	551	0	706
106	714	0	733
182	0	88	735
7	771	401	782
226	811	51	782
65	289	0	722
0	853	321	714
0	760	59	791
104	128	0	727
142	36	565	643
107	225	111	684
41	27	0	709
95	658	0	697
177	56	0	709
136	228	55	746
0	878	186	756
216	110	9	759
105	524	41	711
217	683	0	751
180	0	67	690
0	813	0	672
149	25	315	672
153	82	47	724
32	718	4	730
148	202	0	751
162	747	16	758
172	125	0	689
0	839	0	752
105	134	147	680
240	101	22	680
42	643	0	737
0	805	82	736
193	0	139	642
125	817	0	761
151	120	106	666
227	27	41	792
0	166	0	710
38	0	0	714
12	175	35	720
180	104	237	719
169	164	178	701
293	202	359	630
171	690	131	711
248	0	190	688
57	569	105	715
190	0	153	657
199	183	299	321
169	0	433	714
0	631	790	572
0	778	116	742
0	237	0	696
0	687	0	758
0	762	64	739
181	68	0	735
0	770	0	734
152	96	144	688
172	188	5	686
210	0	0	692
0	821	0	749
148	720	73	728
185	155	57	602
145	0	128	723
200	751	0	735
0	820	166	731
0	808	0	736
0	756	112	736
129	58	114	717
7	0	444	724
136	247	0	704
0	651	0	766
103	764	0	738
224	8	176	741
256	52	57	674
206	108	178	686
163	67	163	690
264	175	0	726
86	681	0	729
0	824	80	732
516	1008	687	726
154	709	200	740
0	719	0	746
0	726	0	707
9	767	373	750
63	644	24	760
206	309	71	701
30	188	186	732
0	660	123	738
229	185	214	699
35	708	883	508
256	190	0	723
28	682	0	747
66	678	58	740
92	702	59	721
47	177	100	706
155	273	0	698
1023	0	988	1023
19	790	0	717
111	803	563	749
170	197	313	656
154	219	0	684
40	767	342	717
161	250	128	763
172	91	174	701
57	798	0	724
0	624	96	718
189	313	0	705
94	719	16	745
0	758	0	784
132	918	0	713
0	793	0	773
141	707	85	703
159	0	244	699
0	727	0	759
67	747	0	758
0	810	0	717
0	730	0	718
265	0	315	679
0	811	0	777
235	0	65	693
210	676	0	771
185	0	308	705
21	0	80	700
86	738	0	743
113	695	406	754
108	233	0	732
118	577	0	725
0	757	35	740
0	695	0	765
0	817	0	709
4	776	136	741
0	550	0	756
0	733	156	703
190	151	38	710
166	57	252	337
185	630	684	483
73	0	397	712
114	431	0	742
137	73	28	676
148	113	177	717
0	638	0	764
0	802	260	728
26	631	124	745
161	801	181	707
249	743	571	741
29	876	44	778
0	808	76	768
65	60	54	706
108	0	205	702
463	1011	732	723
230	259	127	682
0	751	0	773
0	573	17	803
124	220	70	727
0	837	0	762
141	170	0	710
152	89	9	709
142	166	0	730
147	189	48	703
107	563	516	703
191	908	585	716
0	752	0	744
3	689	0	747
0	765	0	766
162	638	88	739
197	188	40	710
72	44	234	651
243	119	281	718
285	108	396	323
64	798	2	761
160	625	5	741
267	495	318	667
28	796	0	712
110	88	209	761
124	155	0	713
142	129	275	720
200	102	0	690
79	154	0	725
0	138	61	177
118	68	308	716
62	0	77	707
0	721	0	744
151	60	285	240
129	689	138	759
142	682	24	719
61	749	0	690
151	835	0	808
208	38	444	711
162	0	165	260
185	0	155	689
194	778	0	735
294	167	29	738
0	798	0	783
176	157	0	676
148	707	190	734
232	170	0	699
0	749	0	751
40	696	61	740
189	0	0	699
240	50	0	700
95	0	235	723
66	761	0	728
252	0	0	748
0	825	0	727
0	833	0	765
0	674	0	748
0	172	20	675
0	741	17	740
191	86	0	707
180	0	0	732
0	592	0	712
104	654	0	811
27	793	0	742
208	374	95	723
39	863	4	725
105	49	103	668
190	25	36	726
128	780	36	750
92	802	0	768
245	565	0	708
193	0	382	720
79	818	0	738
69	149	229	695
170	686	0	781
194	2	164	691
100	154	49	699
109	690	11	749
141	762	90	739
0	808	4	750
161	444	141	701
32	114	190	702
95	258	0	737
70	0	45	657
37	810	0	699
0	850	0	768
138	727	0	727
36	812	0	767
0	588	230	735
168	65	313	721
136	519	300	634
99	316	0	708
137	827	0	716
0	629	38	700
156	0	58	724
131	637	0	712
51	638	0	719
53	708	0	698
119	576	120	735
12	220	108	743
154	81	70	764
261	0	31	710
17	186	75	750
197	614	64	762
0	792	90	737
185	605	0	733
200	230	0	685
88	788	0	727
262	103	117	692
160	657	15	737
229	275	93	675
152	0	0	713
118	103	130	677
164	233	5	709
0	752	0	728
42	541	138	713
249	86	396	736
0	335	61	685
0	797	0	759
71	147	85	649
151	66	0	727
170	25	261	693
88	827	0	746
161	0	190	727
0	784	0	726
6	705	0	737
224	125	204	711
216	503	243	593
241	0	245	688
160	58	220	696
97	40	86	701
0	791	0	722
163	121	155	712
25	707	79	754
134	602	139	722
164	0	57	686
311	0	588	0
315	250	323	614
8	731	0	757
182	667	0	718
138	94	0	704
0	785	0	721
0	816	0	715
114	135	0	684
270	139	77	718
227	0	504	660
105	820	0	735
133	755	193	750
247	0	168	730
212	631	0	768
116	94	232	703
0	784	142	760
208	195	0	689
0	223	0	695
107	0	119	712
61	778	40	751
207	544	189	732
0	787	120	745
177	685	0	721
0	719	12	751
30	722	51	770
0	693	0	700
23	58	0	697
8	0	245	695
0	860	0	705
18	155	207	711
0	838	31	720
0	728	0	749
182	509	65	769
155	392	93	755
177	127	124	692
0	785	0	719
14	587	217	737
0	584	154	737
73	701	0	718
0	664	44	731
105	0	55	693
166	64	64	684
0	791	0	743
114	711	3	729
0	797	0	742
197	150	0	732
119	429	34	715
88	705	0	769
229	75	130	748
141	161	140	705
236	194	0	684
122	65	182	703
252	62	142	695
158	772	110	744
0	895	0	710
181	0	279	723
136	89	136	718
68	87	268	170
68	732	270	739
0	814	13	728
162	377	351	664
60	703	0	730
184	0	539	709
0	864	31	760
0	855	23	695
217	267	196	722
229	754	0	727
0	834	4	762
0	848	0	746
137	232	0	696
123	640	43	760
0	779	0	770
0	758	49	689
0	754	273	698
130	730	20	749
207	759	76	719
289	0	259	707
39	254	168	696
242	0	28	708
0	819	0	765
159	745	0	768
197	30	141	706
165	740	57	753
163	613	0	745
67	212	59	687
48	803	0	766
0	694	0	716
214	0	177	658
252	96	20	844
0	725	24	764
28	780	213	718
63	631	0	792
119	23	353	694
11	842	0	748
50	695	134	763
226	10	44	758
207	152	42	802
156	226	0	721
125	651	0	786
20	683	111	728
0	0	30	698
187	786	121	752
127	243	0	735
222	758	0	744
232	264	50	722
210	42	133	780
0	808	1	763
151	92	207	647
144	0	105	699
206	675	279	744
213	646	223	715
0	799	0	747
171	231	245	303
39	787	0	719
172	605	44	748
83	5	16	695
136	759	0	728
0	681	0	755
144	273	0	707
84	552	308	734
160	40	157	688
232	0	512	190
247	0	655	707
268	142	422	702
90	783	0	708
229	67	192	800
171	0	134	694
40	808	0	789
8	797	0	744
168	202	29	551
0	59	203	673
81	697	0	765
0	666	0	710
187	230	0	685
185	782	580	726
159	21	371	696
147	94	212	246
173	820	14	711
54	649	15	723
145	222	154	721
184	838	385	768
8	0	0	717
51	743	0	771
217	82	52	691
45	648	101	721
4	701	0	743
32	482	0	731
144	0	260	748
37	591	0	779
131	756	117	735
29	0	492	682
58	114	163	705
162	557	73	716
22	628	464	737
0	850	420	717
17	603	163	721
218	0	316	707
118	0	365	688
201	773	0	776
115	0	291	718
44	609	148	796
47	0	301	717
120	646	25	740
0	802	0	720
212	792	0	761
164	704	0	737
32	18	224	682
0	707	531	696
148	726	0	734
208	55	568	644
185	55	253	698
156	590	102	725
0	493	0	714
148	728	242	727
0	792	0	718
173	773	0	755
6	759	0	769
168	205	9	695
129	264	0	675
72	817	95	750
233	786	0	734
0	818	0	720
227	715	0	738
200	408	30	653
128	65	148	727
176	140	250	693
0	716	61	742
156	0	0	692
170	175	360	704
0	721	0	755
211	0	247	725
127	725	0	730
118	204	0	692
0	817	0	732
141	680	0	775
96	577	245	716
173	181	0	706
147	141	45	747
245	665	0	785
0	816	0	719
165	313	0	708
42	670	0	747
0	810	39	736
0	0	53	700
0	745	0	707
34	0	250	198
77	786	163	719
123	0	213	684
0	8	147	697
0	643	0	745
74	685	0	738
32	718	0	729
173	128	255	701
170	0	301	775
207	59	241	703
145	67	113	745
0	45	0	692
122	42	363	679
82	545	0	684
174	306	0	713
124	175	0	723
64	642	382	752
55	722	0	737
141	0	164	761
198	703	95	769
206	65	0	685
23	29	244	686
0	779	111	735
96	539	147	775
0	705	0	713
151	574	0	675
0	699	111	725
192	493	24	815
128	267	0	727
0	51	337	668
60	110	362	680
116	48	174	663
68	697	13	696
15	70	136	708
0	808	116	726
179	92	0	710
216	0	418	63
43	795	430	733
116	656	230	745
96	75	0	724
144	621	42	758
150	67	3	676
177	473	317	722
84	0	242	721
130	0	570	679
47	738	19	758
0	814	43	743
0	858	0	747
248	195	0	713
0	741	10	747
218	109	0	700
0	670	36	711
3	822	0	742
0	646	0	735
92	597	0	802
0	735	93	712
169	104	187	743
151	193	110	721
114	577	0	764
11	522	395	766
224	594	0	741
166	615	440	728
127	146	0	724
269	0	424	723
12	660	0	723
273	0	199	706
140	124	163	699
0	833	0	750
0	135	265	680
193	205	170	667
134	208	61	690
0	909	0	731
0	644	174	735
0	224	111	630
0	781	0	747
0	706	0	753
109	0	245	705
94	799	78	777
198	660	3	753
0	0	0	696
158	79	0	674
237	0	0	753
274	143	0	722
0	864	0	745
74	0	35	676
88	687	232	714
116	738	0	754
11	243	0	702
63	801	0	743
34	682	739	686
182	0	115	689
0	778	514	734
9	612	43	733
48	635	3	784
140	60	204	691
74	731	10	765
177	0	53	693
135	0	60	735
192	0	173	720
123	276	0	684
111	0	201	728
0	697	0	730
250	0	266	620
116	769	4	790
174	237	0	712
68	0	0	714
197	0	118	708
63	812	0	728
78	251	19	717
171	242	488	693
7	750	126	744
281	63	414	364
0	848	0	769
0	852	0	783
208	0	252	689
29	27	27	712
210	131	222	785
173	79	41	707
186	660	69	713
189	772	0	760
86	90	0	746
137	728	90	728
114	564	0	772
0	774	0	724
0	0	323	715
0	164	20	735
133	564	0	738
106	716	10	741
0	693	0	746
0	834	0	686
0	805	0	754
196	617	0	729
248	117	24	718
0	187	0	663
153	408	335	684
157	119	273	673
186	125	167	719
194	63	312	727
218	197	45	768
0	796	0	747
0	224	0	673
237	133	169	709
137	327	88	768
22	729	0	716
0	79	0	710
191	735	0	754
190	0	183	654
138	777	0	752
112	805	18	734
190	528	0	718
73	735	30	747
185	0	132	688
230	649	0	720
123	228	342	691
161	798	0	756
215	735	680	694
96	482	196	693
58	840	135	756
225	0	603	778
0	729	0	740
107	232	0	716
32	735	607	750
0	735	27	727
64	587	130	758
136	0	435	701
268	10	528	742
0	799	0	790
113	672	0	760
99	0	22	654
12	40	252	528
0	764	849	578
118	691	393	712
473	1015	743	659
172	0	312	686
62	43	342	695
23	766	2	769
9	50	317	640
5	182	0	622
113	661	0	710
0	0	237	713
28	606	0	732
205	192	61	704
27	211	0	690
83	77	301	713
0	712	0	764
58	257	73	733
210	66	0	719
0	704	168	751
48	769	0	777
88	835	0	814
0	752	0	751
198	187	114	745
102	591	377	708
187	281	0	714
213	486	179	620
143	135	0	665
240	31	149	716
108	202	93	696
99	719	83	756
224	200	8	693
236	93	48	719
160	654	199	708
0	792	69	738
0	676	0	766
121	0	639	695
25	141	0	696
217	660	0	783
214	45	285	720
182	691	216	752
0	755	302	729
3	595	211	724
195	664	0	768
219	281	271	605
216	165	0	661
0	351	0	683
37	803	0	710
209	247	0	730
0	758	104	791
0	663	0	719
178	208	167	738
0	608	0	713
100	242	34	657
246	0	173	693
0	995	0	744
220	691	0	792
251	780	0	773
170	0	182	733
